年月別,客運人次/總計[人次],客運人次/中運量[人次],客運人次/高運量[人次],平均每日客運人次[人次],營運收入/總計[千元],客運收入/中運量[千元],客運收入/高運量[千元],悠遊卡累計發卡量[張]
87年1月,3833484,1298008,2535476,123661,133679,30370,103309,-
87年2月,4093442,1416827,2676615,146194,133559,32997,100562,-
87年3月,4807209,1584508,3222701,155071,146319,34554,111765,-
87年4月,4812240,1521850,3290390,160408,136597,30277,106320,-
87年5月,4933190,1512360,3420830,159135,136389,28958,107431,-
87年6月,4572868,1396924,3175944,152429,126175,26895,99281,-
87年7月,4907065,1458750,3448315,158292,140026,28618,111408,-
87年8月,5182575,1474176,3708399,167180,151829,29427,122402,-
87年9月,5130292,1507655,3622637,171010,137716,28253,109463,-
87年10月,5305882,1511251,3794631,171157,142963,28917,114046,-
87年11月,5848865,1686197,4162668,194962,148511,33494,115017,-
87年12月,7354033,1753232,5600801,237227,170196,32678,137518,-
88年1月,8822559,1670304,7152255,284599,214589,31918,182671,-
88年2月,7927522,1400351,6527171,283126,197663,28691,168972,-
88年3月,10118012,1821565,8296447,326387,231756,33553,198203,-
88年4月,9565661,1731875,7833786,318855,234191,32475,201716,-
88年5月,9842305,1742808,8099497,317494,233087,31614,201473,-
88年6月,9170981,1583586,7587395,305699,219472,29246,190226,-
88年7月,10315019,1689178,8625841,332743,252757,31908,220849,-
88年8月,10792265,1951692,8840573,348138,265658,38845,226813,-
88年9月,9899623,1728872,8170751,329987,243630,32289,211341,-
88年10月,11069573,1908426,9161147,357083,261491,35240,226252,-
88年11月,12954558,2019317,10935241,431819,314996,39191,275805,-
88年12月,16474044,2146361,14327683,531421,380933,43030,337903,-
89年1月,19124337,2351448,16772889,616914,442906,51506,391400,-
89年2月,20134936,2156580,17978356,694308,466003,52450,413553,-
89年3月,21544104,2617928,18926176,694971,518138,63916,454222,-
89年4月,20516356,2389674,18126682,683879,470705,56640,414064,-
89年5月,21426187,2547729,18878458,691167,485454,59709,425745,-
89年6月,20347558,2347839,17999719,678252,455360,54810,400550,-
89年7月,22601605,2488968,20112637,729084,512237,59108,453129,-
89年8月,22459295,2448004,20011291,724493,506682,58163,448520,-
89年9月,23673624,2602514,21071110,789121,544530,62958,481573,-
89年10月,24864786,2821380,22043406,802090,568927,68646,500281,-
89年11月,24337959,2799621,21538338,811265,560097,67467,492629,-
89年12月,27557314,2980157,24577157,888946,632554,73031,559523,-
90年1月,24367635,2505013,21862622,786053,562504,59526,502978,-
90年2月,26674023,2709286,23964737,952644,610544,61718,548827,-
90年3月,27686991,2918726,24768265,893129,629474,62744,566730,-
90年4月,26165096,2705268,23459828,872170,585733,55610,530123,-
90年5月,27069704,2855690,24214014,873216,598400,56971,541429,-
90年6月,25896546,2600313,23296233,863218,580283,54763,525520,-
90年7月,27572474,2695168,24877306,889435,629507,67150,562357,-
90年8月,28878337,2801217,26077120,931559,657424,60195,597229,-
90年9月,16276009,2287229,13988780,542534,352196,44359,307837,-
90年10月,15110775,2534584,12576191,487444,339651,47419,292232,-
90年11月,18647082,2611395,16035687,621569,418567,53263,365303,-
90年12月,25298042,2865051,22432991,816066,556820,58499,498320,-
91年1月,25603402,2777938,22825464,825916,542435,53571,488864,-
